sentencas,nenhum,adm-publica,agricultura-pecuaria-pesca-extrativismo,arte-cultura-religiao,cidades-desenvolvimento-urbano,ciencia-tecnologia-inovacao,ciencias-exatas,ciencias-sociais,comunicacoes,defesa-seguranca,direito-civil,direito-constitucional,direito-consumidor,direito-justica,direito-penal,direitos-humanos-minorias,economia,educacao,energia-recursos-hidricos-minerais,esporte-lazer,estrutura-fundiaria,financas-publicas-orcamento,homenagens-datas-comemorativas,industria-comercio-servicos,meio-ambiente-desenvolvimento-sustentavel,politica-partidos-eleicoes,previdencia-assistencia-social,processo-legislativo-atuacao-parlamentar,relacoes-internacionais-comercio-exterior,saude,trabalho-emprego,turismo,viacao-transporte-mobilidade,impeachment,corrupção,serviço-público,reforma-política,eleição
É só o enunciado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trata-se de um crime torpe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ora, é evidente que, não havendo poupança pública, tem que se chamar o investimento privado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nossa ideia é que todos os Deputados da bancada do Nordeste desta Casa apresentem um projeto de lei ou emenda aglutinativa para que possamos solucionar o problema imediatamente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seguir trabalhando pela Pedagogia do Movimento e pela Educação do Campo, na construção da Pedagogia Socialista para o conjunto dos trabalhadores e trabalhadoras.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Este é o nosso posicionamento: sim"", pela retirada de pauta.. sr Presidente, o projeto está há muito tempo na pauta, já entrou e saiu várias vezes, e há uma expectativa muito grande de todos os repórteres cinematográficos de que esta matéria seja definida.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O refinanciamento foi uma das reivindicações do movimento dos caminhoneiros e uma das principais lutas da Comissão Externa - Paralisação Nacional dos Caminhoneiros, da qual sou Presidente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Essa é uma situação alarmante, grave, séria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Deputada fez uma bela defesa da participação das mulheres na política.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A construção dessa ponte é um grande anseio daquele povo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Registramos que se trata de uma atividade que destaca a cultura nordestina, tanto em relação à música como à gastronomia típica regional, que é realizada regularmente pelo companheiro Rildo, uma das principais lideranças políticas da região, com relevantes serviços prestados ao povo de Canindé de São Francisco, a quem saudamos pela iniciativa e manifestamos o nosso agradecimento pelo convite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muito obrigado.. sr Presidente, sr e sr Deputados, eu conheço a boa intenção do Deputado Mendonça Filho, mas tenho também as preocupações com os pisos salariais, os quais devem ser levados em consideração.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No aeroporto, encontrei um empresário chamado Lucimar Heinz, dono de uma empresa de cosméticos no Espírito Santo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O mesmo vale para qualquer outro crime, como estupros, roubos, estelionatos e atos de corrupção praticados diariamente no Brasil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E o que vai acontecer?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venho aqui hoje, ressaltar, mais uma vez, a problemática das drogas no nosso Brasil, em especial no meu Estado, nos Municípios paraibanos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Esse é um aspecto também que nós queremos defender, num momento de crise.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Então eles têm conhecimento do texto sim.. sr Presidente Eduardo Cunha, antes de v.exa iniciar a Ordem da Dia, eu havia feito... Não, eu tenho que concluir a votação aqui.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Também quero ressaltar e apoiar a posição dos Deputados Jair Bolsonaro e Eduardo Bolsonaro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quando detectado no começo, as chances de sobrevivência são de %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sr Deputados, venho à tribuna, hoje, destacar a recente entrada em vigor da Lei nº ., de , popularmente conhecida como Lei Anticorrupção"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Entre algumas citações que pude acompanhar, uma me chamou a atenção e deixo aqui para reflexão.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E, em espírito, participo da entrega da Medalha do Mérito Rural a produtores, instituições e pesquisadores, que se destacaram em suas relevantes atividades nos campos das Alterosas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O PSDB ainda está no palanque.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Que moral, Major Olimpio, Capitão Augusto, tem o Governo que criou a Lei da Palmada para punir o pai que porventura dê um tapa no bumbum do filho?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC Titular: Deputado do PSDC ocupa a vaga.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sr Presidente, quando nós verificamos que apenas para os Estados Unidos e para o Canadá uma ONG chamada Limiar vendeu - vendeu!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O número representa quase % dos Municípios de todo país.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu quero dizer que a melhor frase que ouvi nos últimos tempos foi: Quem abre uma escola fecha uma prisão"" Quando eu abro os jornais e leio que no Pará  mil crianças e jovens estão fora da escola, eu tenho quase certeza absoluta de que isso foi manipulado, mas que essa frase retrata a realidade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A discussão não é sobre ser a favor ou contra o estabelecimento de impostos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O cidadão de bem pode e tem o direito de ter uma arma, especialmente o registro e a posse; não o porte, mas a posse tem que ser garantida a um colono, a um lavrador lá no interior, nas suas propriedades.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As crianças são outras.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mas a mesma pessoa que elogiou Vaccari, que elogiou outro que roubou dinheiro público, que saqueou os cofres públicos, vaia o Presidente Eduardo Cunha.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ligam a televisão ou o rádio dia e noite: consumo, consumo, consumo, consumo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tem criado problemas e mais problemas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O incentivo ao cooperativismo é outra providência que pode beneficiar os habitantes das periferias.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portanto, sr Presidente, quem deve escolher se o jovem está pronto ou não para assumir um cargo público é o eleitor, é a população, não uma emenda à Constituição.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tudo bem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quero terminar este texto fazendo uma intencional correção.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Por falar nisso, sr Presidente, quero aproveitar a oportunidade, nestes  minutos que me restam, para destacar, mais uma vez, os enormes problemas que vive o sistema judiciário nacional, sufocado por excesso de trabalho e contradições internas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O Brasil é um país bom, enorme, consumidor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Entre elas, destaco a aprovação do Projeto de Lei nº ., de .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v.exa e eu estamos concluindo uma fase de lideranças.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diálogo não significa supressão de identidade, mas a possibilidade de colocar a identidade em encontro com outras vozes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Então, nós precisamos amparar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Que se mobilizem os Líderes da Casa, para que nós possamos, de maneira rápida, resolver essa questão.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu me dirijo a cada um dos sr Deputados que lutaram para conseguir um mandato, que têm um mandato a exercer e que, com a aprovação desta PEC, terão seu mandato mutilado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Como Deputado Estadual por São Paulo , presidi a Frente Parlamentar do Cooperativismo na Assembleia Legislativa e fui autor da lei de incentivo ao cooperativismo no Estado , sancionada pelo então Governador Geraldo Alckmin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A área cedida possui  hectares de superfície.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Com uma economia baseada na agropecuária, o Município também vem se destacando pela crescente atividade mineradora, com ênfase para a extração do mármore azul, cristal de rocha e a barita.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preservar um espaço rico como esse demanda muito esforço.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ainda somos poucas aqui na Câmara, mas tenho esperança de que logo seremos mais de % desta Casa Legislativa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Era o que tinha a dizer.. sr Presidente, eu estou entendendo, com todo o respeito ao meu amigo Fraga, que o Deputado Moroni Torgan fez uma grave crítica ao partido dele, o DEM.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Um dos problemas centrais é a infraestrutura, e os dois Líderes provocaram essa reflexão.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ela é que tem o poder de liberar ou não empréstimos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Há muita diferença entre as matérias que estamos votando aqui.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Se a Mesa tivesse interesse na fusão e nas emancipações, teria colocado a urgência para votação antes deste projeto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E os jovens muitas vezes não têm recursos para comprar aquilo que se incentiva comprar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mas vocês não têm coragem!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Talvez este seja o grande acerto da reforma política: dizer que o Brasil precisa de mais jovens qualificados, sim.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelas informações que me foram transmitidas, a postulação tem o auxílio da comunidade, daí por que me obrigo a trazê-lo, desde já, ao conhecimento deste Plenário, sem prejuízos de ação correlata, capaz de viabilizar tão oportuna e louvável iniciativa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bem-vindo a esta Casa!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trabalhar pelo deficiente não é apenas lutar para que os locais tenham infraestrutura, com rampa, banheiro adaptado, vaga reservada, piso podotátil e tradução na Língua Brasileira de Sinais A acessibilidade e a inclusão passam por tudo isso, mas ainda é preciso muito mais.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Está na hora de os grandes pagarem imposto.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muito obrigado, sr Presidente.. sr Presidente, o projeto é meritório.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Também quero agradecer e parabenizar o povo da Vila de Abrantes, um Distrito do Município de Camaçari, onde houve uma manifestação, no final de semana, no domingo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A Constituição Federal, em seu artigo º, inciso VI, diz textualmente que é inviolável a liberdade de consciência e de crença, sendo assegurado o livre exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto e a suas liturgias"" O Código Penal brasileiro, em seu art , tipifica como crime contra o sentimento religioso escarnecer de alguém publicamente, por motivo de crença ou função religiosa, vilipendiar publicamente ato ou objeto de culto religioso, com pena de detenção de  mês a  ano, ou multa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Encerro este pronunciamento lembrando que, hoje, a remuneração dos membros da advocacia pública dos Estados é superior à dos advogados da União, sem contar que, em muitas delas, os procuradores podem advogar no âmbito privado e percebem os honorários de sucumbência.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parabéns a Fernando Henrique Cardoso, que foi realmente um líder deste País!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"É a oitava melhor cidade do Brasil para um profissional fazer carreira e a primeira capital no ranking da inclusão digital, de acordo com a pesquisa da Fundação Getulio Vargas Portanto, sr Presidente, eu gostaria de deixar registrado os meus parabéns a Floripa!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
", diz S.Exa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seria até injusto exigir de v.exa as respostas sobre isso, porque o Presidente saiu e não vou fazer isso com v.exa Mas quero apenas para registrar que o último orador começou a discursar depois de encerrada a votação, e isso não existe no processo legislativo, em lugar nenhum do mundo, primeiro vota-se e depois se discute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Precisamos de vontade, empenho do Governo do Estado para que sejam implantadas ações imediatas e efetivas, para que os jovens que estão hoje no sistema tenham garantido o seu direito constitucional ao aprendizado e à educação.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O estudo, feito pelo Programa das Nações Unidas para o Desenvolvimento no Brasil e pelo Instituto de Pesquisa Econômica Aplicada , mostra que de  a  o Estado aumentou esse índice acima da média nacional, passando de um patamar de desenvolvimento muito baixo para a faixa de médio desenvolvimento Esse índice leva em conta fatores como renda, longevidade e educação.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Além da conclusão do aeroporto, o Governo estadual priorizou a infraestrutura turística de São Raimundo Nonato, como a urbanização da cidade e a execução de obras de contenção dos problemas ocasionados pelas chuvas no centro histórico da cidade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suplentes :  vagas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passo a ler agora detalhes de sua história e dos seus grandes feitos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ele é esperado desde o ano passado não só pelos fornecedores, como também pela indústria, e o Governo até agora não se dignou a fazer esse pagamento.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Por mais que o Tribunal de Contas venha recomendando, desde , para que se contratem pessoas que possam trabalhar no controle interno, no controle dos Ministérios, no controle das Estatais, infelizmente o Governo ignora a questão da boa aplicação.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"médicos contratados pelo Ministério da Saúde atendem, em .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estou concluindo, sr Presidente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Por isso, eu diria que esta reforma política não mexe no que é estrutural, mas traz um avanço.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O estudo realizado pelo IPEA continha algumas questões sobre violência sexual.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e dispararam  tiros contra ele, com frieza e inclusive com a certeza da impunidade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O objetivo do Senador tucano é abrir o pré-sal para a entrada das empresas multinacionais.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoje aposentado é um artista plástico com reconhecimento mundial.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E muitos de nós que somos filiados a partidos políticos também não estamos satisfeitos com o modelo de gestão do nosso partido.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Justiça não pode se intitular dona da verdade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
têm um mandato para exercer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O Bradesco já foi vítima também de vários assaltos em todo o Estado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essa discussão não morreu.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vamos transformar Mato Grosso, crescendo a economia e proporcionando melhor qualidade de vida para nossa gente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Depois de vir ao conhecimento público que a iniciativa de ofender a jornalista Maria Julia Coutinho partiu de um adolescente, vejo que é uma questão de educação.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estivemos com a Presidente Dilma Rousseff, e com tantos outros do Governo, para montar esse programa, que foi publicado em todo o Brasil no dia  de dezembro de .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porque tem um desvio de personalidade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agradeço ao Deputado Angelim e o parabenizo pelo discurso.. sr Presidente, sr e sr Deputados, eu vou ler notícia da Agência Câmara Notícias , veiculada ontem, dia  de fevereiro: Alves lamenta condicionamento de R$, bi em emendas parlamentares Ministério da Fazenda anunciou bloqueio de R$ , bilhões do total de R$ , bilhões previstos para emendas parlamentares ao orçamento de .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Esses são dois grandes acontecimentos relacionados ao nosso Papa Francisco, uma bênção para a humanidade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sr Presidente, quero dizer também que teremos hoje à noite a votação dos vetos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O voto é que decide!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A juventude não é problema, mas solução para a sociedade, a esperança de uma Nação.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Na comparação com os primeiros cinco meses do ano passado, a retração chegou a ,%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mas outro elemento é fundamental neste debate: o financiamento empresarial não só causa corrupção, como causa também uma tremenda distorção entre as candidaturas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Se ainda estivesse conosco, talvez tivéssemos a sua inspiração nessa ameaça de retrocesso e conservadorismo que estamos vivendo, particularmente aqui na Câmara dos Deputados, uma voz ativa a nos encorajar, um estímulo de sonhos e de coragem política e ousadia, contando sempre com o povo brasileiro.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boa parte dos Deputados vem aqui dizer que o PT mente, que o Governo mente, mas, quando faz campanha nos Municípios, muitas vezes, mentem para os eleitores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
É sintomático que aqueles que defendem o financiamento empresarial questionem a pesquisa aqui citada.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoje estamos orientando para que eles fiquem mais atentos a essa questão da poluição, a não jogarem lixo na rua.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sr Presidente, solicito que seja dada a devida publicidade a este pronunciamento nos meios de comunicação desta Casa, inclusive no programa A Voz do Brasil sr Presidente, essa personalidade pública e acadêmica singular que é Roberto Mangabeira Unger, atual Ministro da Secretaria de Assuntos Estratégicos, elaborou proposta resumida de um plano de educação nacional dentro do projeto Brasil, Pátria Educadora - Pátria Educadora: A qualificação do ensino básico como obra de construção nacional -, que é hoje prioridade do Governo Federal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Podem tentar colocar em nós a pecha que quiserem, porque vamos continuar com toda a força, com todo o brio, com toda a vontade, defendendo aqueles que mais precisam.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ele concordou, aperta outro botão.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quero primeiro dizer que venho aqui me posicionar de forma contrária a todo esse processo de votação da proposta de reforma política, à forma como ele vem sendo conduzido nesta Casa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razão simples: não há imagem que possa provocar esta abertura.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Por isso, o Governo e a bancada do PT, no momento de crise, cruzaram os braços aqui e votaram sim"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mais uma vez, eu quero fazer um apelo ao conjunto de homens desta Casa, para que nos ajudem na semana que vem.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Então eu acho que acaba um pouco a aflição de alguns companheiros aqui, porque esse processo dificilmente estará concluído até a votação do segundo turno, penso eu.. sr Deputados, primeiramente, quero parabenizar o Presidente Gilberto Nascimento pelos seus  anos de idade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A margem para o corte de despesas é mínima.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A família brasileira e a família dos Parlamentares são sempre bem-vindas a esta Casa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No que se refere ao Conselho Nacional de Trânsito - CONTRAN, no dia , na Comissão, e, no dia , em plenário.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Claro que isso não significava nenhuma punhalada em v.exa, mas mostra o padrão medíocre do debate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Esteve presente o Presidente da instituição, Guilherme Campos Júnior, mais de  entidades nacionais de trabalhadores e  Deputados.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O Governo Federal não pode ficar assistindo de arquibancada à situação se deteriorar da maneira como está se deteriorando no Rio de Janeiro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Para eles, o melhor é que não aconteça nada de ruim, mas se ocorrer estão prontos para a missão.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Como disse v.exa, sou atualmente Secretário da Agricultura e Abastecimento do Estado de São Paulo, como também fui eleito pelos demais Secretários da Agricultura para presidir o Conselho Nacional de Secretários da Agricultura.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Os alunos da escola pública estadual deixaram de ser vistos como sujeitos de direitos e passaram a ser tratados ora como consumidores, ora como deliquentes"", o que acentua um modelo avesso à garantia de direitos e adepto à repressão policial diante da crescente tensão social provocada pelo quadro de exclusão vivido no Estado de São Paulo, em especial nas periferias das grandes cidades.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esse é o texto que foi publicado no portal Carta Maior.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nós agimos legitimamente, utilizando aquilo que a Casa e as regras da democracia permitem.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Só no caso da delação do empresário Ricardo Pessoa, dono da UTC,  partidos, da base de apoio do Governo e da Oposição de direita, estão diretamente envolvidos naquilo que hoje todos sabem que se trata de dinheiro sujo, produto da corrupção.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Desejo cada vez mais sucesso à nossa bancada para que possa ter mais vitórias, como as de ontem e as de hoje.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Para a execução de suas finalidades sociais, o IBRAPP elabora e executa projetos nas áreas de renda, educação, saúde, meio ambiente em favor dos entes públicos de natureza municipais, estaduais ou federais.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Há  anos esses reservatórios não apresentavam a situação que apresentam hoje, deixando a população totalmente desassistida.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Primeiro, lembro a esta Casa que o Governo Temer já havia, por meio da sua base aqui, aprovado aquela medida provisória que retirava da PETROBRAS a obrigatoriedade da exploração do pré-sal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O principal entrou em curto, incendiou e, todos sabem o que aconteceu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fica o registro, sr Presidente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
É uma figura extraordinária.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A facilitação daquilo que vai sair do projeto infraconstitucional ajuda, inclusive, na compreensão daquilo que vai restar de destaque na proposta de emenda à Constituição.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nesse sentido, caros colegas, devemos comemorar a melhora pelo BNDES das condições do Programa de Sustentação do Investimento - PSI para bens de capital rural às médias , pequenas e micropropriedades rurais, o que vai facilitar o financiamento para a compra de maquinários agrícolas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Então, eu quero dizer que me posiciono contrariamente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O debate do tema está em pauta no País, sr Presidente, e não há como negar a evolução no tratamento das pessoas com deficiência por parte do Estado e da sociedade organizada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Para além das questões de acessibilidade, há outro desafio dos mais relevantes, o direito à igualdade de oportunidades das pessoas com deficiência, sem discriminação.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amanhã, Dilma Rousseff e seus asseclas serão arrancados do Palácio do Governo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E esperamos que esta Casa seja realmente iluminada e que o Presidente Temer retire, inclusive, este projeto de apreciação.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ficam aqui os nossos parabéns a todas as mulheres brasileiras, todas aquelas que fazem parte desta nossa luta que neste dia é comemorada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O último repasse autorizado foi via Pacto por SC, de quase R$  milhões, para a implantação do Sistema de Abastecimento de Água em Palmitos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portanto, sr Presidente, é com essas palavras de preocupação, de reflexão, de cobrança... Eu não tenho dúvida de que nós aqui no Congresso Nacional temos um papel fundamental.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A norma também incluiu os assassinatos motivados pela condição de gênero da vítima no rol dos crimes hediondos, o que aumenta a pena de um terço até a metade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nossos parabéns, caro companheiro!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neste  de março, gostaria de agradecer a tantas mulheres que nos antecederam nesta busca por respeito e dignidade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uma barragem, por maiores e mais confiáveis que sejam os cuidados com sua segurança, será sempre uma bomba armada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
